	gene_h	gene_t	onco	chem_emb
2114	KRT13	PLSCR1	0	"[2.4310341e-01 1.3480344e+02 3.4482758e-02 2.0000000e+00 7.0000000e+01
 4.5000000e+00 2.0420000e+02 1.0000000e+00 2.0000000e+00 7.0000000e+01
 1.2234425e+01 7.8098560e+02 2.7949184e-01 0.0000000e+00 0.0000000e+00
 2.5992488e-02 3.6734086e-01 6.0666668e-01 1.3628766e+01 1.4744352e-01
 8.5517244e+00 2.2165759e+00 0.0000000e+00 0.0000000e+00]"
2146	KRT13	SPRR2A	0	"[-2.5145632e-01  1.2874658e+02 -5.3398058e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  1.8120000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.4170322e+00  5.9600195e+02
  2.1525794e-01  0.0000000e+00  0.0000000e+00  2.3187678e-03
  1.8584479e-02  9.7909677e-01  4.7412483e+01  7.7764161e-02
  8.0097084e+00  2.9116695e+00  0.0000000e+00  0.0000000e+00]"
2311	KRT7	LDHB	0	"[-4.04048592e-01  1.27446144e+02 -1.31578948e-02  2.00000000e+00
  7.00000000e+01  4.50000000e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  9.45195103e+00  8.20164551e+02
  2.69096285e-01  0.00000000e+00  0.00000000e+00  2.87847947e-02
  5.43809757e-02  9.16834295e-01  7.36127167e+01  1.59566626e-02
  7.88259125e+00  3.34927034e+00  0.00000000e+00  0.00000000e+00]"
2312	KRT81	SFN	0	"[-7.7162158e-01  1.2935405e+02 -6.7567569e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.6349368e+00  5.9779321e+02
  1.7461126e-01  0.0000000e+00  0.0000000e+00  9.2280462e-02
  1.1796360e-01  7.8975594e-01  2.2937145e+01  8.5463844e-02
  6.3243241e+00  2.2221398e+00  0.0000000e+00  0.0000000e+00]"
2317	KXD1	UBA52	0	"[-5.1155782e-01  1.3010902e+02 -3.5175879e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.9898148e+00  5.9122760e+02
  2.5885743e-01  0.0000000e+00  0.0000000e+00  5.4014392e-02
  1.9028547e-01  7.5570017e-01  5.1367218e+01  3.6943510e-02
  7.3517590e+00  3.9766510e+00  0.0000000e+00  0.0000000e+00]"
2320	L1TD1	ORC1	0	"[-8.8806826e-01  1.3382385e+02  1.0795455e-01  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.0827713e+00  7.9413611e+02
  3.0542207e-01  0.0000000e+00  0.0000000e+00  4.2910933e-02
  1.4108805e-01  8.1600100e-01  3.2002213e+01  4.5777377e-02
  8.0568180e+00  8.6710386e+00  0.0000000e+00  0.0000000e+00]"
2322	LCAT	PSMB10	0	"[-3.0489129e-01  1.3124292e+02 -2.9891305e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.9743476e+00  8.9535663e+02
  1.7806338e-01  0.0000000e+00  0.0000000e+00  1.1549922e-01
  1.3042991e-01  7.5407088e-01  2.2320284e+01  5.3107277e-02
  9.7717390e+00  7.4230223e+00  0.0000000e+00  0.0000000e+00]"
2331	LCN2	JUNB	0	"[-3.9461887e-01  1.3205695e+02  3.5874441e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.2178087e+00  8.3086359e+02
  2.1041894e-01  0.0000000e+00  0.0000000e+00  1.3835678e-01
  2.5425565e-01  6.0738754e-01  2.3206291e+01  4.3656617e-02
  9.7354259e+00  9.4206762e+00  0.0000000e+00  0.0000000e+00]"
2338	LIN28A	SCUBE3	0	"[-5.7703358e-01  1.2681960e+02  3.8277511e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.3063927e+00  8.5729187e+02
  2.6775855e-01  0.0000000e+00  0.0000000e+00  6.0009506e-02
  1.5652992e-01  7.8346062e-01  3.1145189e+01  4.2924840e-02
  8.9712915e+00  1.1960711e+01  0.0000000e+00  0.0000000e+00]"
2346	LIN54	SEC31A	0	"[-3.4150946e-01  1.2488489e+02  2.8301887e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  1.8120000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.4313040e+00  6.4527039e+02
  2.3811798e-01  0.0000000e+00  0.0000000e+00  3.4364164e-02
  1.8322097e-01  7.8241491e-01  3.2979111e+01  5.1540684e-02
  8.1949682e+00  5.9174428e+00  0.0000000e+00  0.0000000e+00]"
2398	LMO1	RIC3	0	"[-5.3380287e-01  1.3016618e+02 -2.8169014e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.1894121e+00  7.7483228e+02
  2.2062375e-01  0.0000000e+00  0.0000000e+00  8.9904137e-02
  3.0659235e-01  6.0350347e-01  1.8271141e+01  9.4227336e-02
  6.6901407e+00  3.8454728e+00  0.0000000e+00  0.0000000e+00]"
2399	LMO7	SFTPC	0	"[-6.8083954e-01  1.3185332e+02  6.0934327e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.0278778e+00  7.3770490e+02
  2.9027450e-01  0.0000000e+00  0.0000000e+00  1.1567980e-01
  2.0725770e-01  6.7706245e-01  3.9267685e+01  7.0890645e-03
  1.0470549e+01  3.9159679e+00  0.0000000e+00  0.0000000e+00]"
2440	LPO	PRB1	0	"[-4.1882512e-01  1.3067474e+02  3.6715619e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.9524927e+00  7.9829718e+02
  2.2893091e-01  0.0000000e+00  0.0000000e+00  1.3986121e-01
  4.0886313e-01  4.5127565e-01  3.0300308e+01  1.4340438e-02
  1.0740988e+01  9.2055502e+00  0.0000000e+00  0.0000000e+00]"
2449	LSM10	STK40	0	"[ 3.0072990e-01  1.2907516e+02 -2.1897810e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.2130136e+00  7.6213361e+02
  1.5392873e-01  0.0000000e+00  0.0000000e+00  3.5585329e-02
  1.4800005e-01  8.1641465e-01  3.1428953e+01  4.8004687e-02
  6.5766425e+00  3.4223917e+00  0.0000000e+00  0.0000000e+00]"
2450	LTF	FOSB	0	"[-5.9423637e-01  1.2469567e+02 -3.4582134e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.2159204e+00  7.7720648e+02
  2.1700871e-01  0.0000000e+00  0.0000000e+00  6.7229688e-02
  1.7977844e-01  7.5299191e-01  6.1333687e+01  1.7631572e-02
  6.1181555e+00  2.7865770e+00  0.0000000e+00  0.0000000e+00]"
2460	LTV1	ZC2HC1B	0	"[-9.2115384e-01  1.3147729e+02 -2.2115385e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.8550816e+00  6.9376300e+02
  3.3043483e-01  0.0000000e+00  0.0000000e+00  3.4377467e-02
  8.7480232e-02  8.7814236e-01  6.3994511e+01  1.6789941e-02
  8.7307692e+00  3.7809396e+00  0.0000000e+00  0.0000000e+00]"
2477	LYPD3	BARX2	0	"[-6.3744295e-01  1.2676186e+02  2.7397260e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.9588237e+00  7.0064697e+02
  2.2808063e-01  0.0000000e+00  0.0000000e+00  1.4220054e-01
  3.4059098e-01  5.1720846e-01  5.0929592e+01  1.6044285e-02
  7.0273972e+00  6.5530233e+00  0.0000000e+00  0.0000000e+00]"
2480	LYPLA1	TCEA1	0	"[-7.5762713e-01  1.2693727e+02 -1.6949153e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.9397249e+00  7.9024274e+02
  3.2729399e-01  0.0000000e+00  0.0000000e+00  3.0573858e-02
  3.8952623e-02  9.3047345e-01  2.2695238e+01  1.2611319e-01
  7.4406781e+00  4.2507305e+00  0.0000000e+00  0.0000000e+00]"
2589	MANBAL	SRC	0	"[-4.9712744e-01  1.2973445e+02  1.7953321e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.4706392e+00  8.9571478e+02
  2.4248286e-01  0.0000000e+00  0.0000000e+00  1.5841874e-01
  2.5565445e-01  5.8592677e-01  3.7264706e+01  1.7015366e-02
  9.4775581e+00  1.0185197e+01  0.0000000e+00  0.0000000e+00]"
2591	MAP3K11	KCNK7	0	"[-8.3905578e-01  1.3156694e+02  2.5751073e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.3434248e+00  1.0312357e+03
  2.9459265e-01  0.0000000e+00  0.0000000e+00  4.0273480e-02
  7.9209313e-02  8.8051718e-01  4.0467697e+01  3.2584868e-02
  7.5922747e+00  4.1390781e+00  0.0000000e+00  0.0000000e+00]"
2595	MARCH2	HNRNPM	0	"[-3.24417055e-01  1.24586540e+02  1.85185187e-02  2.00000000e+00
  7.00000000e+01  4.50000000e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  8.55335903e+00  9.89316589e+02
  2.47939557e-01  0.00000000e+00  0.00000000e+00  2.06689477e-01
  3.05325568e-01  4.87984926e-01  3.78082619e+01  1.24886865e-02
  9.10425282e+00  7.38472080e+00  0.00000000e+00  0.00000000e+00]"
2599	MAU2	PRPSAP1	0	"[-2.8827397e-02  1.3071822e+02  1.7915310e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.5489388e+00  6.9629260e+02
  1.7912386e-01  0.0000000e+00  0.0000000e+00  9.8775253e-02
  2.2984600e-01  6.7137873e-01  3.0365107e+01  1.7469682e-02
  1.0726384e+01  7.4356160e+00  0.0000000e+00  0.0000000e+00]"
2605	MB	TNNC1	0	"[-1.49074093e-01  1.21145355e+02  4.16666679e-02  2.00000000e+00
  7.00000000e+01  4.50000000e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  6.38906431e+00  7.59487549e+02
  1.08060747e-01  0.00000000e+00  0.00000000e+00  3.15545425e-02
  1.54729813e-01  8.13715637e-01  3.15465088e+01  6.05281219e-02
  6.53703690e+00  2.99861550e+00  0.00000000e+00  0.00000000e+00]"
2609	MBP	LENG8	0	"[-8.84375036e-01  1.35209351e+02  9.37500000e-02  2.00000000e+00
  7.00000000e+01  4.50000000e+00  1.74199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  8.77426434e+00  7.48553772e+02
  3.45766127e-01  0.00000000e+00  0.00000000e+00  1.22074345e-02
  2.58152913e-02  9.61977243e-01  1.41340189e+01  2.61718750e-01
  8.37500000e+00  1.85483873e+00  0.00000000e+00  0.00000000e+00]"
2610	MECP2	IRAK1	0	"[-1.22606623e+00  1.26842636e+02  1.16113745e-01  2.00000000e+00
  7.00000000e+01  4.50000000e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  7.07698393e+00  9.29455688e+02
  3.20977211e-01  0.00000000e+00  0.00000000e+00  1.67619493e-02
  4.48075622e-01  5.35162449e-01  5.42459984e+01  2.92221643e-02
  6.16587687e+00  3.71044922e+00  0.00000000e+00  0.00000000e+00]"
2612	MED22	SURF6	0	"[-7.21794903e-01  1.24171776e+02  9.61538479e-02  2.00000000e+00
  7.00000000e+01  4.19999981e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  6.84726381e+00  9.56565247e+02
  2.39081889e-01  0.00000000e+00  0.00000000e+00  4.93574962e-02
  2.12666377e-01  7.37976134e-01  5.19243317e+01  3.92011851e-02
  6.11538458e+00  2.64466500e+00  0.00000000e+00  0.00000000e+00]"
2622	MIP	TIMELESS	0	"[-4.6222222e-01  1.2932109e+02 -2.7777778e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.9918151e+00  8.9874371e+02
  1.8742198e-01  0.0000000e+00  0.0000000e+00  5.1406287e-02
  1.6409212e-01  7.8450155e-01  2.3367338e+01  7.0864201e-02
  6.3777776e+00  3.0017478e+00  0.0000000e+00  0.0000000e+00]"
2623	MLK4	FUT8	0	"[-4.7009438e-01  1.2773640e+02  2.7358491e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.6210594e+00  7.9070898e+02
  2.4382116e-01  0.0000000e+00  0.0000000e+00  1.9983634e-01
  2.7612045e-01  5.2404320e-01  6.2504478e+01  6.9562122e-03
  7.3735847e+00  9.3390560e+00  0.0000000e+00  0.0000000e+00]"
2632	MLLT6	F11R	0	"[-6.0000014e-01  1.2746773e+02  5.6159422e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.2526541e+00  9.1926080e+02
  2.5228921e-01  0.0000000e+00  0.0000000e+00  8.5124463e-02
  4.1738427e-01  4.9749124e-01  4.0049904e+01  3.1348456e-02
  8.6521740e+00  1.1529486e+01  0.0000000e+00  0.0000000e+00]"
2636	MMP2	LPCAT2	0	"[-4.5083466e-01  1.2994733e+02 -1.6691957e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.0809221e+00  9.4864709e+02
  2.4364193e-01  0.0000000e+00  0.0000000e+00  1.8505912e-01
  2.7325523e-01  5.4168570e-01  2.9385868e+01  1.6153136e-02
  1.0644917e+01  9.6943932e+00  0.0000000e+00  0.0000000e+00]"
2651	MTAP	SPINK1	0	"[-1.7638889e-01  1.2779963e+02  1.7361111e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.1937962e+00  7.4160162e+02
  2.3780185e-01  0.0000000e+00  0.0000000e+00  1.9119319e-01
  2.9110166e-01  5.1770514e-01  1.8587736e+01  3.7567515e-02
  1.0819445e+01  9.5282621e+00  0.0000000e+00  0.0000000e+00]"
2654	MTRNR2L12	NPPA	0	"[-1.8426968e-01  1.2301796e+02  7.8651689e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.8065677e+00  9.6665192e+02
  1.6419816e-01  0.0000000e+00  0.0000000e+00  3.9180191e-03
  3.2549664e-02  9.6353233e-01  4.3473366e+01  8.1176616e-02
  7.2247190e+00  3.6080184e+00  0.0000000e+00  0.0000000e+00]"
2690	MYH11	EMP1	0	"[2.1428516e-02 1.2444285e+02 2.3809524e-02 2.0000000e+00 7.0000000e+01
 4.5000000e+00 1.7420000e+02 1.0000000e+00 2.0000000e+00 7.0000000e+01
 8.5822124e+00 5.9650739e+02 2.1893148e-01 0.0000000e+00 0.0000000e+00
 5.8236260e-02 9.6866816e-02 8.4489691e-01 1.5971012e+01 1.3605443e-01
 5.7142859e+00 2.4041812e+00 0.0000000e+00 0.0000000e+00]"
2752	MYL9	MEF2C	0	"[5.5345911e-01 1.3124841e+02 3.1446543e-02 2.0000000e+00 7.0000000e+01
 4.5000000e+00 2.0420000e+02 1.0000000e+00 2.0000000e+00 7.0000000e+01
 1.0025035e+01 8.3391113e+02 1.6989093e-01 0.0000000e+00 0.0000000e+00
 2.7067747e-02 1.2250766e-01 8.5042459e-01 2.6832396e+01 5.1778015e-02
 8.2327042e+00 2.1037338e+00 0.0000000e+00 0.0000000e+00]"
2762	N4BP3	RMND5B	0	"[-1.1611942e-01  1.3131490e+02  8.9552235e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  1.0175427e+01  6.9190875e+02
  2.3195550e-01  0.0000000e+00  0.0000000e+00  7.8035779e-02
  4.4579244e-01  4.7617176e-01  3.2587463e+01  2.7471596e-02
  9.2029848e+00  4.3119669e+00  0.0000000e+00  0.0000000e+00]"
2763	NAP1L1	CCDC88C	0	"[8.7499976e-02 1.3467856e+02 6.2500000e-02 2.0000000e+00 7.0000000e+01
 4.5000000e+00 2.0420000e+02 1.0000000e+00 2.0000000e+00 7.0000000e+01
 9.4287500e+00 6.9560352e+02 1.9147727e-01 0.0000000e+00 0.0000000e+00
 9.3148425e-02 3.9950928e-01 5.0734228e-01 1.4804342e+01 1.3520408e-01
 7.5714288e+00 3.3402598e+00 0.0000000e+00 0.0000000e+00]"
2771	NCOR2	UBC	0	"[-5.7224827e-03  1.2906879e+02 -5.3648070e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  1.0330827e+01  6.6659100e+02
  2.3028395e-01  0.0000000e+00  0.0000000e+00  2.3388988e-01
  3.4850758e-01  4.1760251e-01  2.4406546e+01  1.9179249e-02
  1.3406295e+01  1.4943571e+01  0.0000000e+00  0.0000000e+00]"
2776	NDUFS5	SGOL1	0	"[-1.2382673e+00  1.3286929e+02  4.1516244e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.2438927e+00  5.5349011e+02
  3.4519044e-01  0.0000000e+00  0.0000000e+00  1.2966092e-01
  3.0862236e-01  5.6171679e-01  5.3662537e+01  2.1048104e-02
  5.8303251e+00  2.5544393e+00  0.0000000e+00  0.0000000e+00]"
2779	NEDD8	CHMP4A	0	"[-3.8461540e-02  1.2688460e+02  1.9230770e-01  2.0000000e+00
  7.0000000e+01  4.1999998e+00  1.7420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.6384611e+00  7.5068530e+02
  1.4153846e-01  0.0000000e+00  0.0000000e+00  1.0805846e-02
  3.5567313e-02  9.5362681e-01  1.4350223e+01  2.6627219e-01
  6.9230771e+00  3.7538462e+00  0.0000000e+00  0.0000000e+00]"
2784	NFATC3	PLA2G15	0	"[-4.6353930e-01  1.2678390e+02  2.6697179e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.7696924e+00  7.6863599e+02
  1.8148142e-01  0.0000000e+00  0.0000000e+00  2.0375912e-01
  2.8902924e-01  5.0721163e-01  6.3434547e+01  5.8374805e-03
  7.6529365e+00  1.1177928e+01  0.0000000e+00  0.0000000e+00]"
2808	NKX2-1	SFTA3	0	"[-5.4516119e-01  1.2375052e+02  5.3763442e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.4873776e+00  9.4489557e+02
  1.4997679e-01  0.0000000e+00  0.0000000e+00  1.0396592e-01
  3.1867239e-01  5.7736164e-01  5.4566765e+01  2.4524352e-02
  6.8422937e+00  4.3779168e+00  0.0000000e+00  0.0000000e+00]"
2810	NME1	NME1-NME2	0	"[-3.0813399e-01  1.2743682e+02  2.3923445e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.4702702e+00  9.0723279e+02
  2.5182876e-01  0.0000000e+00  0.0000000e+00  3.6240160e-02
  2.5722852e-01  7.0653135e-01  3.0050705e+01  4.3748997e-02
  9.1435404e+00  1.0286989e+01  0.0000000e+00  0.0000000e+00]"
2829	NRIP3	TMEM9B	0	"[-5.4285717e-01  1.3389641e+02  0.0000000e+00  2.0000000e+00
  7.0000000e+01  4.5000000e+00  1.8120000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.9188356e+00  7.3983594e+02
  3.7037036e-01  0.0000000e+00  0.0000000e+00  7.8060711e-03
  1.6068885e-02  9.7612500e-01  2.3022240e+01  1.7857143e-01
  5.0000000e+00  3.7037036e-01  0.0000000e+00  0.0000000e+00]"
2832	NUTF2	EDC4	0	"[-2.9482388e-01  1.2615771e+02 -1.1861970e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.6408072e+00  7.0916760e+02
  2.0687358e-01  0.0000000e+00  0.0000000e+00  1.2311000e-01
  2.1407703e-01  6.6281301e-01  6.3773373e+01  6.2065832e-03
  8.6333570e+00  1.0688498e+01  0.0000000e+00  0.0000000e+00]"
2833	OAS3	OAS2	0	"[-4.42313164e-01  1.32372330e+02  2.82087438e-02  2.00000000e+00
  7.00000000e+01  4.50000000e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  9.49083424e+00  7.53506653e+02
  2.54146636e-01  0.00000000e+00  0.00000000e+00  1.12421736e-01
  2.41578490e-01  6.45999789e-01  3.13334694e+01  1.45838019e-02
  1.03399153e+01  6.32355976e+00  0.00000000e+00  0.00000000e+00]"
2837	OBSL1	CHPF	0	"[-2.2512822e-01  1.2657127e+02  2.5641026e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.0946369e+00  9.4390094e+02
  2.1913520e-01  0.0000000e+00  0.0000000e+00  9.6386984e-02
  3.7275714e-01  5.3085583e-01  3.3607098e+01  2.3944773e-02
  9.3384619e+00  1.1489263e+01  0.0000000e+00  0.0000000e+00]"
2870	OTUD6B	LRRC69	0	"[-2.5000015e-02  1.3211578e+02  2.8735632e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  1.0603033e+01  5.3595636e+02
  1.9369638e-01  0.0000000e+00  0.0000000e+00  7.0330866e-02
  1.5325856e-01  7.7641058e-01  2.5898981e+01  3.1807370e-02
  1.1068966e+01  6.3583426e+00  0.0000000e+00  0.0000000e+00]"
2877	OXTR	SSUH2	0	"[-9.2405081e-02  1.2910124e+02  9.4936706e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.7114801e+00  8.5479242e+02
  1.2869199e-01  0.0000000e+00  0.0000000e+00  2.9039006e-03
  6.3646492e-03  9.9073148e-01  3.3709644e+01  1.0719436e-01
  8.4683542e+00  1.3803960e+00  0.0000000e+00  0.0000000e+00]"
2879	P2RX1	CAMKK1	0	"[-4.9166670e-01  1.2338248e+02  0.0000000e+00  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.1606026e+00  8.8396484e+02
  2.4369748e-01  0.0000000e+00  0.0000000e+00  1.9278121e-03
  7.7666505e-03  9.9030548e-01  5.3661179e+01  7.2777778e-02
  8.7333336e+00  7.5182074e-01  0.0000000e+00  0.0000000e+00]"
2884	PABPC1	PRM2	0	"[-1.3131149e+00  1.3872293e+02  2.1311475e-01  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.3671894e+00  8.3661798e+02
  3.1422266e-01  0.0000000e+00  0.0000000e+00  6.4864479e-02
  4.1882440e-01  5.1631111e-01  2.6606308e+01  4.3267939e-02
  7.9180326e+00  2.9218159e+00  0.0000000e+00  0.0000000e+00]"
2885	PAPLN	XAF1	0	"[-6.1275429e-01  1.2576039e+02  8.9984350e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.5748644e+00  9.6503009e+02
  2.0175922e-01  0.0000000e+00  0.0000000e+00  2.5278443e-01
  2.8462309e-01  4.6259248e-01  5.2015926e+01  7.3030777e-03
  9.3333330e+00  1.1121378e+01  0.0000000e+00  0.0000000e+00]"
2892	PARVA	WDR6	0	"[-3.6917478e-01  1.3102014e+02  1.3349514e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  1.0313281e+01  5.8873743e+02
  2.7658534e-01  0.0000000e+00  0.0000000e+00  1.1689131e-01
  3.4315285e-01  5.3995585e-01  3.4136238e+01  2.1785747e-02
  8.9757280e+00  8.2767820e+00  0.0000000e+00  0.0000000e+00]"
2902	PCK1	GPX3	0	"[-2.7202576e-01  1.2923358e+02 -6.4308681e-03  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.9993124e+00  8.5792255e+02
  2.3586839e-01  0.0000000e+00  0.0000000e+00  1.8057124e-01
  2.7799088e-01  5.4143792e-01  2.4357304e+01  1.8051922e-02
  1.1228296e+01  8.4727564e+00  0.0000000e+00  0.0000000e+00]"
2911	PCSK7	CDH11	0	"[-3.7462687e-01  1.3082239e+02 -4.1044775e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.8623590e+00  7.4848608e+02
  2.3326507e-01  0.0000000e+00  0.0000000e+00  4.2085149e-03
  4.5702495e-02  9.5008898e-01  3.1784430e+01  6.1929159e-02
  8.2985077e+00  2.4515767e+00  0.0000000e+00  0.0000000e+00]"
2914	PDCD7	UBAP1L	0	"[-2.4303794e-01  1.2768100e+02  8.8607594e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.5006881e+00  1.0402990e+03
  1.5230444e-01  0.0000000e+00  0.0000000e+00  5.4575421e-02
  1.7997028e-01  7.6545429e-01  2.4799316e+01  7.0982218e-02
  5.6075950e+00  1.1901979e+00  0.0000000e+00  0.0000000e+00]"
2915	PDLIM2	C8orf58	0	"[-5.6671900e-01  1.2284064e+02  6.3579276e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.1311231e+00  1.0703213e+03
  2.0625006e-01  0.0000000e+00  0.0000000e+00  1.6372868e-01
  3.4668222e-01  4.8958912e-01  6.2983482e+01  1.0688348e-02
  6.8084774e+00  7.9947081e+00  0.0000000e+00  0.0000000e+00]"
2919	PEAK1	TSPAN3	0	"[-7.85951912e-01  1.27876144e+02  1.57116447e-02  2.00000000e+00
  7.00000000e+01  4.50000000e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  8.00729561e+00  6.51775635e+02
  2.46746436e-01  0.00000000e+00  0.00000000e+00  1.63863808e-01
  2.30078161e-01  6.06058061e-01  3.09337845e+01  1.06378617e-02
  1.15101662e+01  6.48694563e+00  0.00000000e+00  0.00000000e+00]"
